Name,DataType,MinCardinality,MaxCardinality,Description,Ordered,AllowSubtypes,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
SubUniverseClassName,langString,0,n,"A name for the SubUniverseClass.",,,,,,,,,,,ddi:conceptualcomponent:3_3,e,
Label,langString,0,n,"A display label for the SubUniverseClass.",,,,,,,,,,,ddi:reusable:3_3,e,
Description,langString,0,n,A description of the content and purpose of the SubUniverseClass.,,,,,,,,,,,ddi:reusable:3_3,e,
DefiningConceptReference,Concept,0,1,A concept that provides a grouping factor for the universes contained by the SubUniverseClass. For example if the parent Universe is Population of the World and the two universes in the group are Male and Female the defining concept may be Sex.,,,,,,,,,,,ddi:reusable:3_3,e,
UniverseReference,Universe,0,n,"A reference to a universe contained in this SubUniverseClass. Note that two different parent universes may contain references to the same universe within a sub-universe group. For example, the Universe ""Population of Europe"" and the Universe ""Population of the United States"" may both have a reference to the SubUniverseClass with the defining concept of Gender and member Universes ""Males"" and ""Females"". The SubUniverseClass is ALWAYS a restriction of its parent universe so that in one case it would be ""Males within the Population of Europe"" and in the other usage ""Males within the Population of the United States"". A question or variable should reference each relevant universe to define the appropriate intersect group.",true,,,,,,,,,,ddi:reusable:3_3,e,
SubUniverseClassReference,SubUniverseClass,0,n,A reference to a SubUniverseClass contained in this SubUniverseClass (a means of nesting hierarchies).,true,,,,,,,,,,ddi:conceptualcomponent:3_3,e,
IsOrdered,boolean,0,1,"If set to ""true"" indicates that the content of the group is ordered.",,,,,,,,,,,,a,
