Name,DataType,MinCardinality,MaxCardinality,Description,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
InstructionAttachmentLocation,InstructionAttachmentLocationType,0,n,"Allows attachment of an instruction to a specific item in a question structure. For example, to a Label, QuestionText, ResponseDomain, Response domain value, or grid cell.",,,,,,,,,ddi:datacollection:3_2,e,
IsDisplayed,boolean,0,1,"If set to ""true"" indicates that the instruction should always be displayed, not just upon need.",,,,,,,,,,a,
