Name,DataType,MinCardinality,MaxCardinality,Description,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
ControlOperation,OperationType,0,n,Description of a Control Operation used to facilitate data control.,,,,,,,,,ddi:datacollection:3_2,e,
CleaningOperation,OperationType,0,n,"Description of a Cleaning Operation such as consistency checking, invalid or out of range values, etc.",,,,,,,,,ddi:datacollection:3_2,e,
WeightingReference,Weighting,0,n,Description of the weighting process and any resultant standard weights.,,,,,,,,,ddi:datacollection:3_2,e,
DataAppraisalInformation,DataAppraisalInformationType,0,n,Description of the data appraisal processing including the resultant sampling error and response rate.,,,,,,,,,ddi:datacollection:3_2,e,
ProcessingInstructionReference_GeneralInstruction,GeneralInstruction,0,n,Reference to a processing instruction (GeneralInstruction or GenerationInstruction) used during the processing event. The basic Reference structure is extended to allow for the use of ParameterLinkage to link specific source parameters to the InParameter of the instruction to reflect its use within this specific Processing Event.,,,,,,,,,ddi:reusable:3_2,e,
ProcessingInstructionReference_GenerationInstruction,GenerationInstruction,0,n,Reference to a processing instruction (GeneralInstruction or GenerationInstruction) used during the processing event. The basic Reference structure is extended to allow for the use of ParameterLinkage to link specific source parameters to the InParameter of the instruction to reflect its use within this specific Processing Event.,,,,,,,,,ddi:reusable:3_2,e,
QualityStatementReference,QualityStatement,0,n,Reference to a quality statement relating to the processing event.,,,,,,,,,ddi:reusable:3_2,e,
