Name,DataType,MinCardinality,MaxCardinality,Description,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
Type,string,0,1,"Specifies that this URI is a URN. In future, other types of URI may be allowed here.",,,,,,,,,,a,
TypeOfIdentifier,string,0,1,Identifies the format of the DDI URN as being canonical or deprecated.,,,Canonical Deprecated,,,,,,,a,
