Name,DataType,MinCardinality,MaxCardinality,Description,Ordered,AllowSubtypes,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
TypeOfResult,string,0,1,Identifies the specific type of result. Supports the use of an external controlled vocabulary.,,,,,,,,,,,ddi:datacollection:3_3,e,
Description,StructuredStringType,0,1,A description of the Results Detail. Supports multiple language versions of the same content as well as optional formatting of the content.,,,,,,,,,,,ddi:reusable:3_3,e,
ResultsDate,DateType,0,1,The date or date range of obtaining results from the development work.,,,,,,,,,,,ddi:datacollection:3_3,e,
RequirementsAssessment,RequirementsAssessmentType,0,n,Description of whether specific requirements for the activities providing these results were met.,,,,,,,,,,,ddi:datacollection:3_3,e,
DevelopmentActivityReference,DevelopmentActivity,0,n,"Reference to one or more Development Activities used by the Development Plan. DevelopmentActivity is a substitution base for a number of types of activities described with appropriate content. TypeOfObject should be ContentReviewActivity, TranslationActivity, or PretestActivity.",,,,,,,,,,,ddi:datacollection:3_3,e,
DevelopmentProcessStepReference,DevelopmentProcessStepType,0,n,Reference to one or more Development Process Steps involved in these results.,,,,,,,,,,,ddi:datacollection:3_3,e,
