Name,DataType,MinCardinality,MaxCardinality,Description,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
RationaleDescription,InternationalStringType,0,1,Textual description of the rationale/purpose for the version change to inform users as to the extent and implication of the version change. May be expressed in multiple languages.,,,,,,,,,ddi:reusable:3_2,e,
RationaleCode,CodeValueType,0,1,RationaleCode is primarily for internal processing flags within an organization or system. Supports the use of an external controlled vocabulary.,,,,,,,,,ddi:reusable:3_2,e,
