Name,DataType,MinCardinality,MaxCardinality,Description,Ordered,AllowSubtypes,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
WhileCondition,CommandCodeType,0,1,"Information on the command used to determine whether the ""While"" condition is met.",,,,,,,,,,,ddi:datacollection:3_3,e,
WhileConstructReference,Sequence,0,1,A reference to the ControlConstruct to implement until the WhileCondition is met. This could be a single ControlConstruct or a set of ControlConstructs within a Sequence.,,,,,,,,,,,ddi:datacollection:3_3,e,
