Name,DataType,MinCardinality,MaxCardinality,Description,Ordered,AllowSubtypes,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
OtherMaterialSchemeName,langString,0,n,"A name for the OtherMaterialScheme.",,,,,,,,,,,ddi:reusable:3_3,e,
Label,langString,0,n,"A display label for the OtherMaterialScheme.",,,,,,,,,,,ddi:reusable:3_3,e,
Description,langString,0,n,A description of the content and purpose of the OtherMaterialScheme.,,,,,,,,,,,ddi:reusable:3_3,e,
OtherMaterialSchemeReference,OtherMaterialScheme,0,n,Inclusion of an existing OtherMaterialScheme by reference.,,,,,,,,,,,ddi:reusable:3_3,e,
OtherMaterialReference,OtherMaterial,0,n,In-line description of a OtherMaterial. These are used by reference at various points in the lifecycle.,,,,,,,,,,,ddi:reusable:3_3,e,
OtherMaterialGroupReference,OtherMaterialGroup,0,n,In-line description of a group of OtherMaterials.,,,,,,,,,,,ddi:reusable:3_3,e,
