Name,DataType,MinCardinality,MaxCardinality,Description,Ordered,AllowSubtypes,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
DevelopmentActivityName,langString,0,n,"A name for the Development Activity.",,,,,,,,,,,ddi:datacollection:3_3,e,
Label,langString,0,n,"A display label for the Development Activity.",,,,,,,,,,,ddi:reusable:3_3,e,
Description,langString,0,n,A description of the content and purpose of the Development Activity.,,,,,,,,,,,ddi:reusable:3_3,e,
DesiredOutcome,langString,0,n,"Describe the desired outcomes of the development activity. Address why the activity should take place, means of determining successful completion, etc.",,,,,,,,,,,ddi:datacollection:3_3,e,
ProcessSummary,langString,0,n,Summarize the process the activity should follow to meet desired outcomes.,,,,,,,,,,,ddi:datacollection:3_3,e,
RecommendedStaffRequirements,RecommendedStaffRequirementsType,0,n,Specify requirements for type of staffing needed to complete activity. Repeat for each staff class,,,,,,,,,,,ddi:datacollection:3_3,e,
AdditionalRequiredResources,langString,0,n,"Describe additional resources required such as funding, staffing, or resource material.",,,,,,,,,,,ddi:datacollection:3_3,e,
DebriefingProcess,DebriefingProcessType,0,1,"Describe the debriefing process. This is especially important for assessing the quality of focus groups, cognitive interviews, etc. Specifies if debriefing is required.",,,,,,,,,,,ddi:datacollection:3_3,e,
