Name,DataType,MinCardinality,MaxCardinality,Description,Ordered,AllowSubtypes,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
DataRelationshipName,langString,0,n,"A name for the DataRelationship.",,,,,,,,,,,ddi:logicalproduct:3_3,e,
Label,langString,0,n,"A display label for the DataRelationship.",,,,,,,,,,,ddi:reusable:3_3,e,
Description,langString,0,n,A description of the content and purpose of the DataRelationship.,,,,,,,,,,,ddi:reusable:3_3,e,
LogicalRecord,LogicalRecordType,0,n,A logical record is a description of all of the elements (variables or NCubes) related to a single case or analysis unit. Required to link a description of a physical record structure to its logical record.,,,,,,,,,,,ddi:logicalproduct:3_3,e,
RecordRelationship,RecordRelationshipType,0,n,Describes the relationship between records of different types or of the same type within a longitudinal study. Identifies the key and linking value relationships. All relationships are pairwise. Multiple pairwise relationships maybe needed to clarify all record relationships within a logical product or data set.,,,,,,,,,,,ddi:logicalproduct:3_3,e,
