Name,DataType,MinCardinality,MaxCardinality,Description,Ordered,AllowSubtypes,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
OtherValue,string,0,1,"When the value of Delimiter is ""other"" provide the character used for delimiting values here. Spaces and binary values are not allowed.",,,,,,,,,,,,a,
TreatConsecutiveDelimiterAsOne,boolean,0,1,Defines the default value for the delimiter used to separate variables in a delimited record. The attribute treatConsecutiveDelimiterAsOne indicates how consecutive delimiters should be handed by the software.,,,,,,,,,,,,a,
DelimiterTypeValue,string,1,1,,,,,,space tab comma semicolon colon pipe other,,,,,,,,
