Name,DataType,MinCardinality,MaxCardinality,Description,Ordered,AllowSubtypes,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
DepositoryStudyUnitReference,StudyUnit,0,1,A reference to the StudyUnit as deposited.,,,,,,,,,,,ddi:group:3_3,e,
DepositoryGroupReference,Group,0,1,A reference to the Group as deposited.,,,,,,,,,,,ddi:group:3_3,e,
DepositoryResourcePackageReference,ResourcePackage,0,1,,,,,,,,,,,,ddi:group:3_3,e,
DefiningConceptReference,Concept,0,1,A concept that defines or aids in understanding the content of the local holding package.,,,,,,,,,,,ddi:reusable:3_3,e,
LocalAddedContent,LocalAddedContentType,0,1,A reference to the ResourcePackage as deposited.,,,,,,,,,,,ddi:group:3_3,e,
