Name,DataType,MinCardinality,MaxCardinality,Description,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
DateFieldFormat,CodeValueType,0,1,"Describes the format of the date field, in formats such as YYYY/MM or MM-DD-YY, etc. If this element is omitted, then the format is assumed to be the XML Schema format corresponding to the type attribute value.",,,,,,,,,ddi:reusable:3_3,e,
DateTypeCode,CodeValueType,0,1,"This is a standard XML date type code and supports the use of an external controlled vocabulary. Examples are date, dateTime, gYearMonth, gYear, and duration",,,,,,,,,ddi:reusable:3_3,e,
Range,RangeType,0,n,Indicates the high and low values (endpoints) of a non-numeric scale. This can be expressed as a value that matches the DateTime format. Repeatable in order to express as set of non-continuous values.,,,,,,,,,ddi:reusable:3_3,e,
RegExp,string,0,1,The regular expression allows for further description of the allowable content of the data.,,,,,,,,,,a,
