Name,DataType,MinCardinality,MaxCardinality,Description,Ordered,AllowSubtypes,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
DimensionRankValue,DimensionRankValueType,0,n,A dimension describes the rank or order of the dimension within the NCube structure and provides the specific coordinate value of the dimension for the data item.,,,,,,,,,,,ddi:reusable:3_3,e,
AttachedAttribute,AttachedAttributeType,0,n,This is an attribute attached to the specified Data Item. The content of the attribute can be provided as a single value or reference a location in the data store where the attribute value will be found. This may be in addition to attribute information described in the logical structure.,,,,,,,,,,,ddi:physicaldataproduct:3_3,e,
Measure,MeasureType,0,n,Identifies the specific measure of the cell by noting the order value of the measure within the MeasureDimension and provides information on the storage location of the cell value for the measure.,,,,,,,,,,,ddi:physicaldataproduct:3_3,e,
Lang,language,0,1,Use to indicate the language of the data item in the file.,,,,,,,,,,,http://www.w3.org/XML/1998/namespace,a,
