Name,DataType,MinCardinality,MaxCardinality,Description,Ordered,AllowSubtypes,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
NCubeSchemeName,NameType,0,n,"A name for the NCubeScheme. May be expressed in multiple languages. Repeat the element to express names with different content, for example different names for different systems.",,,,,,,,,,,ddi:logicalproduct:3_3,e,
Label,LabelType,0,n,"A display label for the NCubeScheme. Supports multiple language versions of the same content as well as optional formatting of the content. Repeat for labels with different content, for example, labels with differing length limitations.",,,,,,,,,,,ddi:reusable:3_3,e,
Description,StructuredStringType,0,1,A description of the content and purpose of the NCubeScheme. Supports multiple language versions of the same content as well as optional formatting of the content.,,,,,,,,,,,ddi:reusable:3_3,e,
NCubeReference,NCube,0,n,Describes the logical structure of an NCube which is a 1..n dimension structure which relates a set of individual value to each other by defining them within a matrix.,,,,,,,,,,,ddi:logicalproduct:3_3,e,
NCubeGroupReference,NCubeGroup,0,n,"Describes a group of NCubes for conceptual or administrative purposes, which may be ordered or hierarchical.",,,,,,,,,,,ddi:logicalproduct:3_3,e,
NCubeSchemeReference,NCubeScheme,0,n,Allows for inclusion of other NCube schemes by reference.,,,,,,,,,,,ddi:reusable:3_3,e,
