Name,DataType,MinCardinality,MaxCardinality,Description,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
GeographicLocationSchemeName,NameType,0,n,"A name for the GeographicLocationScheme. May be expressed in multiple languages. Repeat the element to express names with different content, for example different names for different systems.",,,,,,,,,ddi:conceptualcomponent:3_2,e,
Label,LabelType,0,n,"A display label for the GeographicLocationScheme. May be expressed in multiple languages. Repeat for labels with different content, for example, labels with differing length limitations.",,,,,,,,,ddi:reusable:3_2,e,
Description,StructuredStringType,0,1,A description of the GeographicLocationScheme. May be expressed in multiple languages and supports the use of Location content.,,,,,,,,,ddi:reusable:3_2,e,
GeographicLocationSchemeReference,GeographicLocationScheme,0,n,Inclusion of an existing GeographicLocationScheme by reference.,,,,,,,,,ddi:reusable:3_2,e,
GeographicLocationReference,GeographicLocation,0,n,Description of a GeographicLocation.,,,,,,,,,ddi:reusable:3_2,e,
GeographicLocationGroupReference,GeographicLocationGroup,0,n,In-line description of a group of GeographicLocation.,,,,,,,,,ddi:conceptualcomponent:3_2,e,
