Name,DataType,MinCardinality,MaxCardinality,Description,Ordered,AllowSubtypes,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
ResponseDomain,RepresentationType,0,1,This is a substitution head and can be replaced by any valid member of the substitution group for ResponseDomain.,,true,,,,,,,,,ddi:datacollection:3_3,e,
ResponseDomainReference,ManagedRepresentation,0,1,The inclusion of a response domain by reference (must be supported by a managed representation). An abstract element. May be substituted by any valid object of substitution type ResponseDomainReference.,,true,,,,,,,,,ddi:datacollection:3_3,e,
GridAttachment,GridAttachmentType,0,n,Identifies the cell or cells in a grid to which the item is attached by a reference to a specific cell coordinate in a grid or by identifying a range of values along a dimension.,,,,,,,,,,,ddi:datacollection:3_3,e,
