Name,DataType,MinCardinality,MaxCardinality,Description,Ordered,AllowSubtypes,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
Description,StructuredStringType,0,1,A description of the Translation Requirements. Supports multiple language versions of the same content as well as optional formatting of the content.,,,,,,,,,,,ddi:reusable:3_3,e,
IsOral,boolean,0,1,Indicates if the translation is an oral translation.,,,,,,,,,,,,a,
IsWritten,boolean,0,1,Indicates if the translation is a written translation.,,,,,,,,,,,,a,
