Name,DataType,MinCardinality,MaxCardinality,Description,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
MissingValue,string,0,1,"List the values used to represent missing data in a space delimited array. Use of MissingValuesReference is preferred. If this content does not match the values provided in the MissingValuesReference, the content of the MissingValuesReference overrides the content of this attribute.",,,,\c+,,,,,,a,
BlankIsMissingValue,boolean,0,1,When value is true a blank or empty variable content should be treated as a missing value.  Use of MissingValuesReference is preferred.,,,,,,,,,,a,
