Name,DataType,MinCardinality,MaxCardinality,Description,Ordered,AllowSubtypes,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
GeographicLocationName,langString,0,n,"A name for the GeographicLocation.",,,,,,,,,,,ddi:reusable:3_3,e,
Label,langString,0,n,"A display label for the GeographicLocation.",,,,,,,,,,,ddi:reusable:3_3,e,
Description,langString,0,n,A description of the GeographicLocation.,,,,,,,,,,,ddi:reusable:3_3,e,
GeographicLevelReference,GeographicLevelType,0,1,Reference to an existing GeographicLevel describing structural level to which these locations belong.,,,,,,,,,,,ddi:reusable:3_3,e,
GeographicLevelDescription,langString,0,n,A description of the GeographicLevel.,,,,,,,,,,,ddi:reusable:3_3,e,
AuthorizedSource,AuthorizedSourceType,0,n,An identifiable authorization source repeated for each identifying code type. This allows the codes to be used as representations for response domains and value representations by designating a specific set of locations and the code of an authorization source. An authorization source should differentiate between codes derived for different purposes within the same agency.,,,,,,,,,,,ddi:reusable:3_3,e,
LocationValue,LocationValueType,0,n,"A location of the specified geographic level providing information on its name, identification codes, temporal and spatial coverage.",,,,,,,,,,,ddi:reusable:3_3,e,
