Name,DataType,MinCardinality,MaxCardinality,Description,Ordered,AllowSubtypes,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
SamplingInformationSchemeName,langString,0,n,"A name for the sampling information scheme.",,,,,,,,,,,ddi:datacollection:3_3,e,
Label,langString,0,n,"A display label for the sampling information scheme.",,,,,,,,,,,ddi:reusable:3_3,e,
Description,langString,0,n,A description of the use of the sampling information scheme.,,,,,,,,,,,ddi:reusable:3_3,e,
SamplingInformationSchemeReference,SamplingInformationScheme,0,n,Provides for inclusion by reference of external sampling information schemes.,,,,,,,,,,,ddi:reusable:3_3,e,
SampleFrameReference,SampleFrame,0,n,"An item (that is, a sample frame) belonging to the sampling information Scheme.",,,,,,,,,,,ddi:datacollection:3_3,e,
SamplingPlanReference,SamplingPlan,0,n,"An item (that is, a sampling plan) belonging to the sampling information Scheme.",,,,,,,,,,,ddi:datacollection:3_3,e,
SampleReference,Sample,0,n,"An item (that is, a sample) belonging to the sampling information Scheme.",,,,,,,,,,,ddi:datacollection:3_3,e,
SamplingInformationGroupReference,SamplingInformationGroup,0,n,"An item (that is, a sampling information group) belonging to the sampling information Scheme.",,,,,,,,,,,ddi:datacollection:3_3,e,
