Name,DataType,MinCardinality,MaxCardinality,Description,Ordered,AllowSubtypes,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
UnitTypeReference,UnitType,0,1,Reference to an existing UnitType using the Reference structure. TypeOfObject should be set to UnitType.,,,,,,,,,,,ddi:reusable:3_3,e,
NumberOfUnits,nonNegativeInteger,0,1,Indicate the number of units of the UnitType specified.,,,,,,,,,,,ddi:datacollection:3_3,e,
